BI306|BP1360|120레이드 진주|대한|2|2|9|||코리아|바른|코리아|바른|||18,000
BI356|BP1360|120레이드 진주|대한|4|6||||코리아||올펙||||174*178(89+89)
1611LV|BP1648|120밍크지 흰보라|대한|2|8||||바른|세종봉투||||22|톰슨/풀발이
1611SV|BP0299|120밍크지은회|대한|2|8|||||예지가||||10|우찌누끼
1813PE|BP1360|120레이드 진주|대한|2|6||||코리아|예지가|||||톰슨/풀발이
1813YE|BP0295|120삼화 밍크 크림지|대한|2|6|||||예지가||||18|우찌누끼
1813WH|BP1701|180레이드 백색|대한|2|4||||코리아|예지가||||18|톰슨(1813WH, 1813PB, 1813MT 동일칼선)
ESK003_PE|BP1505|120킨니_네추럴화이트|대한|2|4||연진||코리아|예지가|||||실크(SILVER)/톰슨 ▶구.BE035
BH9606|BP1715|240그문드컬러매트 72번|두성|2|8|코리아||코리아|코리아||올팩|||5|박(유은박-제품코드)/형압(디보싱)/톰슨
BTG_leaflet|BP1692|200스노우 화이트(국전)|대한|1|6||팬다콤|||||||팬다콤|4단 대문접지, 전./후면 4도(양면8도)인쇄
BC1606|BP1740|300그문드 엑스트라코튼_코튼크림|서경|1|15|||바른|바른||바른|||5|닷찌/형압(디보싱)/톰슨
1611LP|BP0347|120레이드연분홍|대한|2|8|||||예지가||||31|우찌누끼
BI040|BP0997|110팬시켄버스|대한|2|9||||코리아|바른|코리아|바른|||90,000
BI041|BP0997|110팬시켄버스|대한|2|9||||코리아||올펙|||31|165*220(110+110) ☞ 간지없이 작업
BI352|BP1360|120레이드 진주|대한|3|6||||코리아||바른|||26|210(105+105)*156
BI368|BP0997|110팬시캔버스|대한|4|6||||코리아||올펙|||31|톰슨
BI377|BP1505|120킨니_네추럴화이트||3|4||||코리아||바른|||22|톰슨
1813CR|BP0994|120매직콤마 베이지 BG01|한솔PNS|2|6||||바른|예지가||||4|톰슨-우찌누끼
1813GR|BP0339|120삼화 레이드 연연두|대한|2|6|||||예지가|||||우찌누끼
1813LV|BP1648|120밍크지 흰보라|대한|2|6||||코리아|예지가|||||톰슨(1813시리즈 동일칼선)
2010SV_N|BP0299|120밍크지은회|대한|2|6|||||예지가|||||우찌누끼 200*100mm
2010WH_N|BP0171|120백상지유광|대한|2|6|||||예지가|||||우찌누끼 200*100mm, BB121
BE004|BP1259|120백상지 유광|대한|2|6|||||예지가|||||우찌누끼
BE005|BP0171|120백상지유광|대한|5|3|||||예지가|||||우찌누끼
BE071|BP1701|180레이드 백색|대한|2|6|||바른|바른|예지가||||4|형압/톰슨
BH4012_I|BP1508|190코튼엠보_백색|대한|3|8||||코리아||올팩||||톰슨
BC1216|BP1804|250시로에코 샌드|두성|4|4|바른||바른|바른||바른|||3|톰슨/형압조각/박-후면(ITW311)/박(kurz398블랙로즈)
BC2211|BP1707|250크러쉬 콘251|두성|4|4|코리아||코리아|코리아||올펙|||27|박(무금박)/톰슨(BH9217, BH9218공용)
BC2212|BP1707|250크러쉬 콘251|두성|4|3|코리아|코리아||코리아||올펙|||13|톰슨(BH9252공용칼선)/먹1도(BH9252와 같은데이터)
BC2609|BP1740|300그문드 엑스트라코튼_코튼크림|서경|2|6|바른|||바른|||||22|톰슨
BC3605|BP1625|250올드밀BIANCO|삼원|4|4|바른|바른||바른||바른|||7|전면별색1도(PANTONE9185U)
BC4223|BP1781|230아레나_내추럴|삼원|4|4|바른||바른|바른||바른|||22|로고 박/종이 > PP기입된 아레나 내추럴로 생산/BC4223/BC4224 칼선 동일
BH7604|BP1649|240코튼플랜|대한|3|T3K|6|||코리아|바른|코리아|바른|||18,000
BH7658_I|BP1664|180마테리카 연녹색_CT05|삼원|2|16|삼보|||||바른|||17|재단(116*171)
BH7663_I|BP1833|220올드밀 비앙코_2k|파주|4|9|바른|바른||||바른||||재단(116*171), 1도 번호인쇄
BH8211A|BP1668|90쉽스킨_White|두성|3|6|바른|||바른||바른|||3|톰슨
BH8250A|BP1673|151마로니에03모래|두성|3|2|12|||코리아|바른|코리아|바른|||36,000
BH8257|BP1544|160킨니_네추럴화이트|대한|2|8||코리아|코리아|코리아|예지가|||||4도+별색1도/박(연동박)/톰슨/풀발이(봉투뚜껑 펼쳐서 입고)
BH9252|BP1708|250크러쉬그레이프258|두성|4|3||바른||바른||바른|||22|먹1도/톰슨(BH9253과 공용칼선)
BH9425|BP1700|220매직콤마_백색|한솔PNS|4|4||바른||바른||바른||||4도, 톰슨(BH8240 공용칼선)
BH9611|BP1638|240그문드 펠트 베이지_84 (서경)|서경|2|8|코피아패키지||코피아패키지|코리아||코피아패키지||||박(연동박-제품코드)/박(연동박)/형압(박과 형압 핀물)/톰슨
BC4237|BP1869|260BR1초백_내추럴화이트|파주|3|5||바른||바른||올펙|||25|로고먹1도 / 톰슨/완전 건조후 톰슨
seal_Oval_OL||SWS_Oval_OL||1|16||||||||||50EA OPP포장
seal_leaf_w_K_sp||SWS_LEAF_4U_WH||1|10.4||||||||||200ea OPP포장/샘플실용
SamplePAPER2018|BP0171|120백상지유광|대한|2|9|코리아|코리아|||||||28|4도인쇄/160*238mm재단
1812TR|BP2001|130_대한트레싱지|대한|2|6|||||예지가|||||우찌누끼 / 풀발이
BC1232|BP1544|160킨니_네추럴화이트|대한|2|6||코리아||코리아|예지가||||17|전면,후면 4도/톰슨/풀바리, 펼쳐서 입고
BH7243|BP1544|160킨니_네추럴화이트|대한|2|6||바른||바른|예지가||||17|4도+4도/톰슨/봉투가공(뚜껑 펼처서 입고 / BH7242, BH7243 동일칼선
BH8258|BP1650|250마테리카 미색 CP02|삼원|T3K|14|14|||코리아|코리아|코리아|코리아|||톰슨/T3K/용지 햇빛 차단 필수(변색됨)
DP018|DP018|250마테리카순백CP01_디지털인쇄용_8절|삼원|1|8|코리아|||||||||8절_272*394 재단
2010LV_N|BP1648|120밍크지 흰보라|대한|2|6|||||예지가||||31|우찌누끼
BI362|BP1663|180레이드 진주|대한|1|40|바른|||||바른|||21|재단(97X197mm)
BI366|BP1709|150메탈팩보드필름_FG10|두성|2|6||||코리아||바른|||24|545X390 크기로 용지 2절 후 톰슨/박스 적재시 반대방향 적재/작업후 바로 입고 요청
1611BL|BP0342|120레이드연청|대한|2|8||||코리아|예지가|||||톰슨 - 우찌누끼
1611CR|BP0994|120매직콤마 베이지 BG01|한솔PNS|2|8||||코리아|예지가|||||톰슨(1611시리즈 동일칼선)2022-08-17
1611PE|BP1360|120레이드 진주|대한|2|8||||코리아|예지가|||||톰슨/풀발이
1611YE|BP0295|120삼화 밍크 크림지|대한|2|8|||||예지가||||20|우찌누끼
1813BL|BP0342|120레이드연청|대한|2|6||||코리아|예지가|||||우찌누끼
FST49|BP1628|250마테리카순백CP01|삼원|4|40|성광|팬다콤|강산|||바른|||7|먹1도/형압/재단
FST50|BP1892|250마테리카 클레이 CP06-1|삼원|4|30|성광|팬다콤|강산|||바른|||7|먹1도/형압/재단
seal_leaf_w_k_SP||SWS_LEAF_4U_WH||1|10||||||||||200ea OPP포장/샘플실용
seal_Muguet_BG_K||SWS_MUGUET3240_BG||1|9.5||||||||||1set-50ea/프리미어페이퍼
seal_square_NV_K||SWS_LEAF_4U_WH||1|8|||||||||24|25ea포장
BI202|BP0997|110팬시켄버스|대한|2|12||||코리아||올팩||||톰슨
1414PE|BP1360|120레이드 진주|대한|3|4||||코리아|예지가||||5|톰슨
1813LP|BP0347|120레이드연분홍|대한|2|6||||코리아|예지가|||||톰슨(1813 시리즈 동일 칼선)
1813CH|BP1994|105톤에프CG06|두성|2|4||||바른|예지가||||10|톰슨/플발이/1813CO공용목형
BC5229|BP1650|250마테리카 미색 CP02|삼원|4|4|||바른|바른|||||10|펄박(ITW_860)/톰슨/오시반칼
BC5230|BP1888|240오슬로A19 누디 베이지|서경|4|8||||바른|||||10|톰슨(BC5230/BC5231/BC5230_I 공용목형)
BC5230_I|BP1353|200킨니_네츄럴화이트|대한|4|8||||바른|||||10|톰슨(BC5230/BC5231/BC5230_I 공용목형)
BC5231|BP1992|240오슬로 A07 실버 그레이|서경|4|8||||바른|||||10|톰슨(BC5230/BC5231/BC5230_I 공용목형)
BC5919A|BP1993|128뉴칼라_19꽃 분홍색|두성|4|6||||코리아|예지가||||10|톰슨/플발이
BC5233|BP1740|300그문드 엑스트라코튼_코튼크림|서경|2|9||||바른|||||10|톰슨
BC5234|BP1565|550쿠션지_화이트(흰색)1.0mm|두성|2|12||||코리아|||||10|톰슨
1813SV|BP0299|120밍크지은회|대한|2|6|||||예지가|||||우찌누끼
BE042|BP1259|120백상지 유광|대한|2|6|||||예지가|||||우찌누끼
2010TR|BP0164|130컨셉트레싱지|두성|2|6|||||예지가||||10|우찌누끼/2010WH_N 공용철형
1107TR|BP0164|130컨셉트레싱지|두성|3|5||||바른|예지가||||12|톰슨/풀발이
seal_flower_bom_K||||1|10|||||||||18|5종*5개=총 25개
DP048||210시리오러프C03 Milkshake_디지털인쇄용_6절|삼원|1|4|바른||||422500|2000|211.25|||395*330 재단
DP049|DP049|210시리오러프C02 Jasmine_디지털인쇄용_6절|삼원|1|4|코리아|||||||||395*330 재단
1414SV|BP0299|120밍크지은회|대한|3|4|||||예지가||||14|우찌누끼
1611GR|BP0339|120삼화 레이드 연연두|대한|2|8|||||예지가||||20|우찌누끼
P_2010WH|BP1701|180레이드 백색|대한|2|5||||코리아|예지가|||||톰슨(2010MT, 2010PB, P_2010WH 동일칼선)
seal_square_BR_K||SWS_LEAF_4U_WH||1|8.5||||||||||25ea포장/프리미어페이퍼
seal_Oval_MT_K||SWS_OVAL_MT||1|10||||||||||25ea포장/프리미어페이퍼
P_SEAL_BOX_2024|BP1986|270AB라이트|대한|1|9||||||||||24*30cm 재단입고/내부톰슨
seal_box_2024|BP1984|300비타팩|삼원|1|9|바른|||||||||24*30cm 재단/내부톰슨,목1도
1813DB|BP1887|118 클래식크래스트스무스_CT10|삼원|2|4|바른||바른|바른|예지가|||||1813CO와 동일칼선/박위치 잘 맞춰줄 것
2010PK_N|BP0297|120레이드연분홍|대한|2|6|||||예지가||||17|우찌누끼 200*100mm
BE046|BP1103|110인견한지|대한|2|6|||||예지가||||31|우찌누끼
BC3610|BP1740|300그문드 엑스트라코튼_코튼크림|서경|2|8|코리아||코리아|코리아||올펙||||형압디보/톰슨
BH7617|BP1650|250마테리카 미색 CP02|삼원|3|6|||코리아|코리아||올펙|||18|톰슨/무금박/용지 햇빛 차단 필수(변색됨),7617/8249/8248 공용목형
BH8456|BP1508|190코튼엠보_백색|대한|3|5||코리아||코리아||올펙||||4도+4도/톰슨(BH8455, BH8456, BH8457 공용)
BH9217|BP1687|250크러쉬시트러스252||4|4|코리아||코리아|코리아||올펙|||4|박(유금박)/톰슨(BH9217, BH9218공용)
BC4238|BP1612|220올드밀BIANCO|삼원|4|3||코리아||코리아||올펙|||22|로고먹1도 / 톰슨
pre_liner_misty_2025|BP1700|220매직콤마_백색||5|2|||||||||30|4도/재단/내부생산
BE047|BP1103|110인견한지|대한|3|5|||||예지가||||22|우찌누끼
Samplepack2025_A|BP0171|120백상지유광|대한|3|2||코리아||코리아|예지가|||||전면별색1도(PANTONE426U)/톰슨/풀발이/Samplepack2023_A,B 공용목형사용
Samplepack2025_B|BP0171|120백상지유광|대한|3|2||코리아||코리아|예지가|||||전면별색1도(PANTONE426U)/톰슨/풀발이/Samplepack2023_A,B 공용목형사용
OnLine_Order|BP0985|100백상지 유광_국전|대한|2|4|미래|미래|||||||26|4도+4도인쇄/재단*/미싱선
BI376|BP1689|110팬시캔버스||2|8||||코리아||바른|||22|톰슨
1414BL|BP0342|120레이드연청|대한|3|4||||코리아|예지가||||4|톰슨
2010MT|BP1759|110비비칼라_32|두성|2|5|||코리아||예지가||||8|톰슨(2010MT, 2010PB, P_2010WH 동일칼선)
seal_leaf_w_k_sp_1||SWS_LEAF_4U_WH||1|8|||||||||19|벌크포장(200EA)
Seal_flower_p_K_sp||SWS_flower_PN||1|10|||||||||19|벌크포장(200EA)
seal_square_NV_K_sp||SWS_SQUARE_NV||1|8|||||||||19|벌크포장(200EA)
sealing_dear_G_K_sp||SWS_DEAR_GL||1|8|||||||||19|벌크포장(200EA)
ME_CASE|BP1846|한솔 시그니처 미스트 350g|한솔PNS|4|2||바른||바른|||||14|먹1도/톰슨
BC4220|BP1649|240코튼플랜|대한|3|4|||코리아|코리아||코리아|||14|박 중앙에 위치하도록 잘 맞춰줄 것/전면 박+로고 박
BI382|BP1781|230아레나_내추럴|삼원|4|9|코피아패키지|||||||||116*171 재단
BE010|BP0171|120백상지유광|대한|3|5|||||예지가||||25|우찌누끼 /os만
1813W_PRE|BP0171|120백상지유광|대한|2|6||||코리아||||||톰슨
1813L_CH|BP1307|125심플렉스_E05(Castano_초콜렛)|삼원|4|8|코리아|||코리아||||||톰슨
BC1602|BP1612|220올드밀BIANCO|삼원|1|20|||코리아|코리아||올펙|||22|무광금박(sc_G18)
